4,428664,4.5,"[EditorMgmt] EditorPart#isSaveOnCloseNeeded() not called when closing Editor Parts via ""Close All"" or ""Close Others""",major
1,431130,4.5,[Preferences] FieldEditor.adjustForNumColumns(int numColumns) client access,enhancement
1,431565,4.5,[Progress] Refactor JobTreeElement,enhancement
2,432399,4.5,[Import/Export] Export feature not exporting empty folders,normal
2,432501,4.5,[Perspectives] [templates] getWindowConfigurer().setShellStyle(SWT.TITLE) is invalid,normal
1,432785,4.5,[ViewMgmt] FileNotFoundException after renaming the icon file or folder,normal
3,433519,4.5,[Model] optimize findElements for handlers and others,normal
3,433789,4.5,[CSS] Rethink how the RegistryCSSElementProvider gets elements,normal
3,435512,4.5,[CSS] Override the preferences customized by the user with the proper CSS values,normal
0,435734,4.5,[About] Eclipse SDK Installation Details Features page is not fit for purpose,normal
2,436572,4.5,"[CSS] Stylesheet contribution with ""$ws$"" in the URI are resolved incorrectly",normal
1,436645,4.5,[CommonNavigator] NavigatorContentDescriptorManager.EvaluationCache#getDescriptors does not work,normal
1,436923,4.5,[Progress] ProgressMonitorDialog should encapsulate the protected arrowCursor member,normal
0,437207,4.5,[ViewMgmt] [compatibility] Forward DIEditorPart @Persist and @PersistState to wrapped component,normal
1,424978,4.5,[RenderingEngine] Method setToBeRendered in a menu instance throws an error,normal
0,431097,4.5,Update PerspectiveSwitcher to use @Inject to register for events,normal
1,422139,4.5,"[Graphics] Move ""org.eclipse.ui.images"" to eclipse.platform.common git repo and rename to ""org.eclipse.sdk.images""",normal
3,354538,4.5,[Contributions] [Compatibility] Window menus and toolbars leaked after having been closed,major
2,392876,4.5,[Contributions] Editor context menu is broken when trying to add a dynamic submenu,normal
0,436635,4.5 M1,"""context menu > Show In"" broken on GTK+ 3",normal
4,269121,4.5,[Progress] WorkspaceModifyOperation run in the UI thread deadlocks with UIJob,critical
1,436796,4.5,Explore ways to use of generic information when doing Injection,normal
4,375744,4.5,[Workbench] Command-Q does not ask to confirm exit,normal
3,430872,4.5,[CSS] ACTIVE_TAB_BG_END must not be used to set view background and description background,normal
3,388476,4.5,"[EditorMgmt] Editor tab management lost ""working set"" (MRU) functionality",normal
2,424489,4.5,[Perspectives] An alternative to Min / Max,normal
2,232171,4.5,[Decorators] DeclarativeDecorators don't seem to take a plugin URL for an icon,normal
3,325937,4.5,[CSS] Active part/stack hard to detect in E4 Themes,major
2,330117,4.5,"[CSS] No separation between view toolbar, view description and view content",normal
2,391430,4.5,[Contributions] Dynamically creating / deleting menu items in Menu and MPopupMenu doesn't work,normal
2,435623,4.5,CSS engine should be able to load CSS files from plug-ins distributed as JAR files,normal
4,118919,4.5,[Viewers] Failure in SimpleVirtualLazyTreeViewerTest.testCreation,normal
3,366608,4.5,[KeyBindings] [Compatibility] Failures in KeysTestSuite,normal
5,421388,4.5,[Contributions] Customize perspective doesn't work,normal
1,427887,4.5,[CommonNavigator] [working sets] Allow working set in Project Navigator to be sorted manually,enhancement
2,430964,4.5,[EditorMgmt] Keyboard repeat rate slower when selecting text,major
1,37478,4.5,"[Import/Export] Add ""Import  As Project"" option to the Import Wizard",enhancement
3,438324,4.5,[IDE] Resource refresh at startup blocks initial rendering of the Eclipse UI,major
0,435300,4.4.1,"[Outline] Narrowing an empty Outline view lowers the ""An outline is not available"" label",normal
2,401327,---,[MPE] AbstractMultiEditor.getInnerEditorContainer is never called,critical
2,436749,4.5,Detached view keeps/regains focus after Show In on GTK,normal
2,426717,4.5,[EditorMgmt] Incorrect Editor Title Image shown after rearranging editor,normal
3,428447,4.4.1,"[EditorMgmt] New editor always gets activated with WorkbenchPage#openEditor(input, editorID, false)",major
3,430128,4.4.1,[Perspectives] Editor cannot be opened,major
3,430403,4.4.1,[Perspectives] Views without sash to resize and complete loss of views,critical
1,432463,4.4.1,[Model] add part disposing uievent,minor
2,432722,4.4.1,[Perspectives] [Trim] History view not restored after selecting Team > Show local history,normal
1,432767,4.5,[EditorMgmt] getActiveEditor() returns wrong editor instance,normal
1,432935,4.5,"[PerspectiveBar] ""Top-left"" position not available for perspective switcher",normal
0,435300,4.4.1,"[Outline] Narrowing an empty Outline view lowers the ""An outline is not available"" label",normal
2,435847,4.4.1,[Perspectives] Reset Java Perspective is not getting the Package Explorer back,normal
1,437597,4.4.1,[Navigator] Problem with CommonSorterDescriptorManager_A_navigatorContent_extesnion_in_0_,trivial
2,437624,4.4.1,[Trim] Whitespace drops down for empty view toolbar or menu,normal
3,437902,4.5,[CSS] Non-externalized strings on Colors and Fonts Preference panel,normal
3,430051,---,[CSS] Regression for CTabRendering when drawing bottom tabs,normal
1,432869,---,Path.hashCode() does not represent the actual path,trivial
1,436499,---,Using the OSGI event bus has significant performance issues,enhancement
1,383318,---,Keybinding conflicts occurred when switching between Java and XML editors,normal
2,426020,---,Customize Perspective toolbar settings not remembered,minor
0,429793,---,ConcurrentModificationException caused by EvaluationService requestEvaluation,normal
1,431242,---,[CSS] CSS Engine should support JavaFX-like derive() and ladder() functions,enhancement
3,432856,---,View toolbar does not redraw properly when new buttons appear/disappear,normal
2,433215,---,[Wizards] newWizardShortcut extension point not contributing to existing perspectives,normal
2,436458,4.4.1,Detached windows present glitches when changing perspective,normal
1,436840,---,"Navigator / Project Explorer's PasteAction throws ""Widget is disposed"" exceptions when created in detached shell",minor
1,162006,---,[QuickAccess] Make Ctrl-3 extensible,normal
3,331645,---,[Workbench] EventBroker#unsubscribe is not working when same eventhandler registered for more than one topic,major
3,340889,---,[CSS] Platform color scheme does not work together with SWT color constants,major
2,372523,---,[Workbench] Rework Workbench startup so it doesn't use LegacyIDE.e4xmi,major
2,372943,---,[EditorMgmt] Cannot maximize shared area by double-clicking on the tab area after it has been split,normal
4,376486,---,[Model] Eclipse 4 IDE not extendable via fragments or processors,major
1,382625,---,"[Perspectives] Setting org.eclipse.ui/PERSPECTIVE_BAR_EXTRAS=myPerspectiveId1,myPerspectiveId2 in plugin_customization.ini",normal
2,387579,---,[EditorMgmt] [regression] No indication/decoration for pinned editor,normal
2,388505,---,"[Workbench] ""Show In"" menu doesn't use MRU order any more",normal
2,388963,---,[Decorators] Accessibility: FieldDecoration does not support user accessibility (JAWS),major
3,393391,---,"[Contributions] can't re-enable toolbars in ""customize perspective""",normal
3,398837,---,[RenderingEngine] We need to revamp the e4 life cycle handling,normal
0,400443,---,[Perspectives] Perspective switch not working on startup,normal
0,411724,---,[Trim] Hidden toolbar doesn't stay hidden,normal
1,413112,---,[Commands] The parameters of ExecutionEvent are lost in HandlerServiceHandler#execute,normal
2,416845,---,[Perspectives] Remove use of SWT.DEFER and Review all other layout handling,normal
2,417367,---,[Perspectives] Detaching *all* stacks in a perspective causes it to be cleaned up,normal
4,421155,---,[RenderingEngine] Main toolbar not redrawn when maximized Welcome closed 2nd time,normal
1,421425,---,[Workbench] ESelectionService doesn't work correctly if the active IEclipseContext is a child of the parts context,normal
2,428297,---,[Contributions] MenuManager.dispose() not called when exiting workbench,normal
2,430199,---,"[CSS] Form, FormHeading and inner children have paint issue",normal
3,431218,---,[DetachedView] Hoover help does not work when part is detached from workbench,normal
0,432750,---,[Themes] Provide a way to define a Color & Font profile in CSS,enhancement
3,432849,4.4.1,[Perspectives] perspective extensions not applied to existing perspectives,normal
3,434108,---,[Perspectives] Copy Worbench Layout option does not work in Eclipse 4.x,normal
3,434207,---,[Themes] Restore Defaults button doesn't work on Appearance Preference Page,normal
4,435161,---,[Contributions] Wrong Visible When condition evaluation of dynamic menu,major
0,435191,---,[JFace] org.eclipse.jface.window.ToolTip flicker,minor
1,435523,---,[Trim] toolbar groups docked on status bar misaligned,normal
2,435605,4.4.1,[RenderingEngine] Editor tab disappears when quickly moving mouse pointer over multiple editor tabs,minor
0,436788,---,[QuickAccess] org.eclipse.swt.SWTException: Widget is disposed exception in log when exit application from Quick Access,major
1,436885,---,[OLE] [Win32] menu items disappear after editing an office file,normal
2,437202,4.5,[Contributions] Editor tied to toolbar in wrong window after dragging to new window,normal
1,437213,---,[Perspectives] Disabling floating editors,enhancement
3,437353,4.4.1,[Trim] combo box not shown in the view's toolbar,normal
3,404015,---,[DND] Drag and drop of jobs trim item is broken,normal
2,355750,---,WorkbenchWindowAdvisor#isDurableFolder() doesn't survive a save and restore,normal
5,375576,---,"Controls are not fully realized when partOpened(...) , partBroughtToTop(...) and partActivated(...) are called",critical
2,79991,---,[EditorMgmt] 'File > Save As' doesn't update navigation history,normal
1,171398,---,[PresentationAPI] Full screen editing,enhancement
3,378849,---,[CPD] CustomizePerspectiveDialog no longer shows actionSet details,normal
4,429505,---,[Progress] Refine Eclipse4 based progress view,normal
0,379144,---,[DI] Same EventAdmin Service injected twice,minor
1,279838,---,[CSS] Resource loading extensions,normal
3,317207,---,View tabs have no context menu - can't make it a fast view,major
2,339415,---,[Contributions] DynamicMenuContributionItem's isVisible() does not delegate to loadedDynamicContribution's isVisible(),normal
1,393242,---,[CSS] JFace StatusLine cannot be easily styled,enhancement
2,416761,---,Open File command should remember the last used folder across restarts,enhancement
0,189959,---,Allow for custom branded detached view windows,enhancement
0,208233,---,[Trim] Allow for sliding toolbars,enhancement
0,214974,---,[Workbench] Allow Workbench UI state to save/restore to user-provided Input/Output Streams,enhancement
1,249109,---,[Trim] set toolbar icons with drag and drop,enhancement
1,317208,---,Missing items on context menu on minimized views,normal
0,348885,---,[UI] Removing an element from the model should (eventually) call removeGui on it,normal
1,351366,---,Allow the hosting of Views and Editors independent of the presentation,normal
