434102,4.5,"platform-ui-triaged","NEW","---","[PropertiesView] PropertySheet does not display contents for the current selection after opening an editor","normal",
392876,"4.5 M6","daniel.rolka","ASSIGNED","---","[Contributions] Editor context menu is broken when trying to add a dynamic submenu","normal",
416650,"4.5 M2","tom.schindl","VERIFIED","FIXED","CTabFolder layouts content too often / too many of them","normal",
232171,4.5,"Platform-UI-Inbox","REOPENED","---","[Decorators] DeclarativeDecorators don't seem to take a plugin URL for an icon","normal",
401327,4.5,"platform-ui-triaged","NEW","---","[MPE] AbstractMultiEditor.getInnerEditorContainer is never called","critical",
434108,4.5,"platform-ui-triaged","NEW","---","[Perspectives] Copy Worbench Layout option does not work in Eclipse 4.x","normal",
400578,4.5,"daniel.rolka","ASSIGNED","---","Removing all parts from a window via Drag n Drop causes crash","major",
435435,"4.4.1","pwebster","VERIFIED","FIXED","[QuickAccess] Hiding quick access hides it in all workbench windows on restart","normal",
431990,"4.5 M6","dirk.fauth","RESOLVED","FIXED","[Renderer] Settting the visible property to false of the MToolbar is ignore by the renderer","normal",
37478,4.5,"platform-ui-triaged","REOPENED","---","[Import/Export] Add ""Import  As Project"" option to the Import Wizard","enhancement",
421425,4.5,"platform-ui-triaged","NEW","---","[Workbench] ESelectionService doesn't work correctly if the active IEclipseContext is a child of the parts context","normal",
269271,4.5,"platform-ui-triaged","NEW","---","[Workbench] [Compatibility] URISyntaxException  when workspace loc has space","normal",
374132,4.5,"platform-ui-triaged","NEW","---","[Workbench] [Compatibility][api] IWorkbenchPage's showEditor(*) and hideEditor(*) methods are unimplemented","major",
391145,"---","Platform-UI-Inbox","NEW","---","[Compatibility] NPE with a custom editor opened using Project Explorer on first file, subsequent files are ok","major",
436863,"4.5 M6","wojciech.sudol","NEW","---","Splitting and cloning a compare editor fills the log","normal",
433809,"---","platform-ui-triaged","NEW","---","[Contributions] Reconfigure and Autotools submenu items disabled","normal",
436247,"4.4.1","cizbasa","VERIFIED","FIXED","[Themes] ""Colors and Fonts"" pref page fails with NPE when running with '-cssTheme none'","normal",
434506,4.5,"Platform-UI-Inbox","NEW","---","Events missing from startup parts creation","normal",
372523,4.5,"platform-ui-triaged","NEW","---","[Workbench] Rework Workbench startup so it doesn't use LegacyIDE.e4xmi","major",
435191,4.5,"platform-ui-triaged","NEW","---","[JFace] org.eclipse.jface.window.ToolTip flicker","minor",
389920,"---","platform-ui-triaged","RESOLVED","FIXED","perspective overlays portion of Welcome page after installing EGit","normal",
401835,4.5,"platform-ui-triaged","NEW","---","Paste, pastes text in the wrong editor","critical",
445305,4.5,"platform-ui-triaged","NEW","---","[EditorMgmt] Find/Replace in opened files dragged to new window not working","normal",
376486,"4.5 M4","lars.vogel","RESOLVED","FIXED","[Model] Eclipse 4 IDE not extendable via fragments or processors","major",
430205,"4.5 M5","simon.scholz","VERIFIED","FIXED","[CSS] Gradient background for Section is hard-coded","normal",
320901,4.5,"platform-ui-triaged","ASSIGNED","---","[CSS] White background results in lost separators (non-classic themes)","major",
372799,"4.5 M6","loskutov","ASSIGNED","---","[Workbench] [GlobalActions] ViewPart cannot adapt ISaveablePart any longer but must implement it.","normal",
380663,4.5,"platform-ui-triaged","NEW","---","Starting an old 4.2 workspace with a new build resets the perspectives","major",
366554,4.5,"platform-ui-triaged","NEW","---","[Commands] [Compatibility] failures in CommandsTestSuite","normal",
366608,4.5,"lars.vogel","REOPENED","---","[KeyBindings] [Compatibility] Failures in KeysTestSuite","normal",
325937,4.5,"Platform-UI-Inbox","REOPENED","---","[CSS] Active part/stack hard to detect in E4 Themes","major",
375744,4.5,"bsd","REOPENED","---","[Workbench] Command-Q does not ask to confirm exit","normal",
430872,4.5,"daniel.rolka","REOPENED","---","[CSS] ACTIVE_TAB_BG_END must not be used to set view background and description background","normal",
436499,"---","daniel.rolka","NEW","---","Using the OSGI event bus has significant performance issues","enhancement",
330117,4.5,"Platform-UI-Inbox","REOPENED","---","[CSS] No separation between view toolbar, view description and view content","normal",
392715,"---","platform-ui-triaged","CLOSED","DUPLICATE","Make existing 3.x components available for a pure e4 application","enhancement","emoffatt"
399659,4.5,"platform-ui-triaged","CLOSED","DUPLICATE","[KeyBindings] Updating a keybinding causes CCE","major",
410087,4.5,"platform-ui-triaged","NEW","---","[Contributions] DirectToolItem does not evaluate @CanExecute","normal",
414845,4.5,"platform-ui-triaged","NEW","---","[Model] Order within elements added by fragments is reversed if ""before:"" or ""after:"" flag is used in ""Position in List"" attribute.","major",
431894,4.5,"platform-ui-triaged","NEW","---","[DND] [ViewMgmt] Cannot drag a view to full-height right hand side","normal",
423056,4.5,"platform-ui-triaged","NEW","---","[Intro] Restore welcome hyperlink on Welcome page does not work if view is maximized","normal",
430964,4.5,"platform-ui-triaged","REOPENED","---","[EditorMgmt] Keyboard repeat rate slower when selecting text","major",
435161,4.5,"platform-ui-triaged","NEW","---","[Contributions] Wrong Visible When condition evaluation of dynamic menu","major",
414736,4.5,"platform-ui-triaged","NEW","---","[PerspectiveBar] The Perspective Bar can't disabled via property","normal",
432466,4.5,"platform-ui-triaged","NEW","---","[Trim] [MinMax] Multiple Windows with SharedEditorArea not supported","normal",
435655,4.5,"daniel.rolka","NEW","---","[CSS] Add support for reseting of the widget's properties to the system defaults via CSS","normal",
435623,4.5,"lars.vogel","RESOLVED","WORKSFORME","CSS engine should be able to load CSS files from plug-ins distributed as JAR files","normal",
434207,4.5,"platform-ui-triaged","NEW","---","[Themes] Restore Defaults button doesn't work on Appearance Preference Page","normal",
436788,4.5,"agrawalshiwani30","NEW","---","[QuickAccess] org.eclipse.swt.SWTException: Widget is disposed exception in log when exit application from Quick Access","major",
366606,4.5,"lars.vogel","REOPENED","---","[Compatibility] Failures in ContextsTestSuite","normal",
361133,"---","platform-ui-triaged","NEW","---","[Compatibility] WorkbenchWindowAdvisor.createWindowContents(Shell) not called any more","major",
371934,"4.5 M5","loskutov","CLOSED","FIXED","[Contributions] [Perspectives] [Compatibility] Extra/incorrect categories in the CPD","normal",
388476,"4.5 M6","loskutov","REOPENED","---","[EditorMgmt] Editor tab management lost ""working set"" (MRU) functionality","major",
387714,"---","platform-ui-triaged","NEW","---","[CSS] Tag changes are not propagated as CSS class","normal",
431218,"---","platform-ui-triaged","NEW","---","[DetachedView] Hoover help does not work when part is detached from workbench","normal",
405542,"4.5 M6","snjeza.peco","RESOLVED","FIXED","[Workbench] More than one workbench save job can run","normal",
376486,"4.5 M4","lars.vogel","RESOLVED","FIXED","[Model] Eclipse 4 IDE not extendable via fragments or processors","major",
412013,"---","platform-ui-triaged","REOPENED","---","Secondary Problems view (created with 4.2) doesn't have a view menu","normal",
414738,"---","platform-ui-triaged","RESOLVED","WONTFIX","[Contributions] Customize Perspective via extension point doesn't work","normal",
174689,"---","platform-ui-triaged","NEW","---","[Contributions] Commands not appearing in Customize Perspective dialog","normal",
348560,"---","platform-ui-triaged","NEW","---","RunAndTracks that always return true","normal",
434871,"---","platform-ui-triaged","NEW","---","[Commands] executeCommandInContext(*) doesn't copy over static variables correctly","normal",
336584,"---","platform-ui-triaged","NEW","---","[Contributions] CommandContributionItem#openDropDownMenu() never release menu manager for drop down menu from workbench menu service.","normal",
422720,"---","platform-ui-triaged","RESOLVED","WORKSFORME","[KeyBindings] Context based key Binding for commands not working after upgrading to eclipse 4.2.2","critical","pelder.eclipse"
432686,"4.4.2","wojciech.sudol","RESOLVED","FIXED","[Trim] show toolbar does not take effect if workspace is started with hidden toolbar","normal",
413410,"4.4.2","wojciech.sudol","RESOLVED","FIXED","[KeyBindings] Lots of Keybinding conflicts occurred on official CDT Eclipse Kepler 4.3","normal",
433789,"---","platform-ui-triaged","NEW","---","[CSS] Rethink how the RegistryCSSElementProvider gets elements","normal",
436796,"---","tom.schindl","ASSIGNED","---","Explore ways to use of generic information when doing Injection","normal",
366635,"---","lars.vogel","NEW","---","[Tests] DynamicPluginsTestSuite has failures","normal",
377448,"---","platform-ui-triaged","NEW","---","[DynamicGUI] Contributions Made Through IExtensionRegistry.addContribution May Or May Not Show Up","minor",
388510,"---","platform-ui-triaged","NEW","---","[Perspectives] Regression to 4.2: perspective commands enabled even if no perspective open ==> Exceptions","normal",
403930,4.5,"platform-ui-triaged","NEW","---","[Workbench] E4 and E3 selection services are not connected","normal",
436115,"4.5 M1","bsd","RESOLVED","FIXED","CCE:  java.lang.ClassCastException: org.eclipse.e4.ui.model.application.commands.impl.KeyBindingImpl cannot be cast to org.eclipse.e4.ui.model.application.ui.MUIElement","minor",
433519,"---","platform-ui-triaged","NEW","---","[Model] optimize findElements for handlers and others","normal",
435512,"4.5 M3","daniel.rolka","VERIFIED","FIXED","[CSS] Override the preferences customized by the user with the proper CSS values","normal",
430051,"---","daniel.rolka","NEW","---","[CSS] Regression for CTabRendering when drawing bottom tabs","normal",
413112,"---","platform-ui-triaged","NEW","---","[Commands] The parameters of ExecutionEvent are lost in HandlerServiceHandler#execute","normal",
430199,4.5,"platform-ui-triaged","NEW","---","[CSS] Form, FormHeading and inner children have paint issue","normal",
333742,"---","Platform-UI-Inbox","RESOLVED","FIXED","[Compatibility] MoDisco needs to run on Eclipse 4.x","normal",
334303,"---","Platform-UI-Inbox","RESOLVED","FIXED","[Compatibility] Web Tools Platform needs to run on Eclipse 4.x","normal",
178229,"---","platform-ui-triaged","NEW","---","[Dialogs] [EditorMgmt] Open Resource dialog should not fully create all editors","normal",
