2,4,3,,4,,2,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=436236,436236,[EditorMgmt] Reusing editors causes memory leak in navigation history
4,4,3,,3,,,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=438324,438324,[IDE] Resource refresh at startup blocks initial rendering of the Eclipse UI
3,4,3,,4,,,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=331645,331645,[Workbench] EventBroker#unsubscribe is not working when same eventhandler registered for more than one topic
4,4,4,,,,,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=376486,376486,[Model] Eclipse 4 IDE not extendable via fragments or processors
3,,3,,5,,,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=431218,431218,[DetachedView] Hoover help does not work when part is detached from workbench
3,4,3,,4,,,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=432849,432849,[Perspectives] perspective extensions not applied to existing perspectives
4,3,3,,4,,,48,https://bugs.eclipse.org/bugs/show_bug.cgi?id=415382,415382,[Commands] Commands contributed from extensions remain after the plugin is gone
1,,3,5,2,,,46,https://bugs.eclipse.org/bugs/show_bug.cgi?id=340889,340889,[CSS] Platform color scheme does not work together with SWT color constants
3,4,4,,,2,,44,https://bugs.eclipse.org/bugs/show_bug.cgi?id=435274,435274,[Contributions] Leak of ActionContributionItem every time New/Import context menu item is made visible
3,4,2,,4,,,44,https://bugs.eclipse.org/bugs/show_bug.cgi?id=436572,436572,"[CSS] Stylesheet contribution with ""$ws$"" in the URI are resolved incorrectly"
3,4,3,3,,,2,44,https://bugs.eclipse.org/bugs/show_bug.cgi?id=430403,430403,[Perspectives] Views without sash to resize and complete loss of views
1,3,1,,5,,,44,https://bugs.eclipse.org/bugs/show_bug.cgi?id=432767,432767,[EditorMgmt] getActiveEditor() returns wrong editor instance
3,4,2,,4,,,44,https://bugs.eclipse.org/bugs/show_bug.cgi?id=397029,397029,[MPE] MultiPageEditorPart is leaked via perspective's EclipseContext
3,,2,5,,,,44,https://bugs.eclipse.org/bugs/show_bug.cgi?id=378672,378672,[CSS] Part tab and tool bar colors/rendering are confusing
0,1,3,5,,,,42,https://bugs.eclipse.org/bugs/show_bug.cgi?id=388476,388476,"[EditorMgmt] Editor tab management lost ""working set"" (MRU) functionality"
1,4,3,,4,,,42,https://bugs.eclipse.org/bugs/show_bug.cgi?id=430128,430128,[Perspectives] Editor cannot be opened
3,4,3,,3,1,,42,https://bugs.eclipse.org/bugs/show_bug.cgi?id=398837,398837,[RenderingEngine] We need to revamp the e4 life cycle handling
4,4,3,,1,,,42,https://bugs.eclipse.org/bugs/show_bug.cgi?id=350251,350251,Strategy for porting useful org.eclipse.ui.* bits for Eclipse4 RCP apps
2,2,1,,5,,,42,https://bugs.eclipse.org/bugs/show_bug.cgi?id=201589,201589,[Contributions] visibleWhen has no effect on toolbar
2,4,2,,4,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=432399,432399,[Import/Export] Export feature not exporting empty folders
0,5,0,,3,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=437207,437207,[ViewMgmt] [compatibility] Forward DIEditorPart @Persist and @PersistState to wrapped component
3,4,3,,3,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=378849,378849,[CPD] CustomizePerspectiveDialog no longer shows actionSet details
3,4,4,,,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=429505,429505,[Progress] Refine Eclipse4 based progress view
3,3,3,,4,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=366554,366554,[Commands] [Compatibility] failures in CommandsTestSuite
3,4,4,,,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=410749,410749,[Workbench] Don't prompt to save on close when editor input opened elsewhere
4,,3,4,,,,40,https://bugs.eclipse.org/bugs/show_bug.cgi?id=401632,401632,[WorkbenchParts] Minimized views still update in background (bad part events?)
2,1,4,,,3,3,38,https://bugs.eclipse.org/bugs/show_bug.cgi?id=348429,348429,[Perspectives] [Compare] NPE in ContentMergeViewerLayout.layout
4,2,1,,4,,,38,https://bugs.eclipse.org/bugs/show_bug.cgi?id=432785,432785,[ViewMgmt] FileNotFoundException after renaming the icon file or folder
2,4,1,,4,,,38,https://bugs.eclipse.org/bugs/show_bug.cgi?id=436645,436645,[CommonNavigator] NavigatorContentDescriptorManager.EvaluationCache#getDescriptors does not work
2,4,1,,4,,,38,https://bugs.eclipse.org/bugs/show_bug.cgi?id=424978,424978,[RenderingEngine] Method setToBeRendered in a menu instance throws an error
1,,2,,5,,,38,https://bugs.eclipse.org/bugs/show_bug.cgi?id=434102,434102,[PropertiesView] PropertySheet does not display contents for the current selection after opening an editor
3,3,2,,4,,,36,https://bugs.eclipse.org/bugs/show_bug.cgi?id=392876,392876,[Contributions] Editor context menu is broken when trying to add a dynamic submenu
0,4,2,,4,,,36,https://bugs.eclipse.org/bugs/show_bug.cgi?id=232171,232171,[Decorators] DeclarativeDecorators don't seem to take a plugin URL for an icon
0,3,2,4,,3,,36,https://bugs.eclipse.org/bugs/show_bug.cgi?id=401327,401327,[MPE] AbstractMultiEditor.getInnerEditorContainer is never called
2,3,3,,4,,,36,https://bugs.eclipse.org/bugs/show_bug.cgi?id=434108,434108,[Perspectives] Copy Worbench Layout option does not work in Eclipse 4.x
0,4,2,,4,,,36,https://bugs.eclipse.org/bugs/show_bug.cgi?id=366606,366606,[Compatibility] Failures in ContextsTestSuite
3,1,4,,,,3,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=400578,400578,Removing all parts from a window via Drag n Drop causes crash
1,4,3,,3,,,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=435435,435435,[QuickAccess] Hiding quick access hides it in all workbench windows on restart
1,3,3,,4,,,34,https://bugs.eclipse.org/bugs/show_bug.cgi?id=431990,431990,[Renderer] Settting the visible property to false of the MToolbar is ignore by the renderer
